name,location_level,known_address,amenities_notes,source,source_url
Tanglin Mall,Level 3 (baby care room near restrooms); Level 2 (diaper cha,"Tanglin Mall , 163 Tanglin Road, Singapore 247933",Level 3 (baby care room near restrooms); Level 2 (diaper changing room) Spacious – with enough space to wheel in a couple of strollers – this nursing room is usually pretty jumping due to all the baby-friendly amenities nearby,SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Thomson Plaza,Level 3 Key features of,"Thomson Plaza , 301 Upper Thomson Rd, Singapore 574408","Level 3 Key features of the lockable nursing area include a bench, changing table, sink and a waiting area",SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Tiong Bahru Plaza,"Levels B1, 1 to 3","Tiong Bahru Plaza , 302 Tiong Bahru Rd, Singapore 168732","Levels B1, 1 to 3 The nursing room area has a bench but no locks",SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
United Square,Level 1,"United Square , 101 Thomson Rd, Singapore 307591",Level 1 This popular kids’ mall has a pretty nice baby care room that can accommodate a couple of strollers and is kept very clean,SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Valley Point Shopping Centre,Level 1,"ley Point via Official Website Valley Point Shopping Centre , 491 River Valley Rd, Singapore 248371","Level 1 There’s one nursing cubicle (no locks; separated by curtains), a changing table, sink and a hot and cold water dispenser",SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Velocity @ Novena,"Levels 2 (near NOVITA) Nice, clean and bright","Velocity @ Novena , 238 Thomson Road, Singapore 307683","Levels 2 (near NOVITA) Nice, clean and bright, the baby room in Velocity has everything you need, but it’s a bit out of the way from the more popular stores",SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
VivoCity,,,,SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Waterway Point,B2 to Level 2,"Waterway Point, 83 Punggol Central, Singapore 828763","B2 to Level 2 The spacious nursing room at Waterway Point comes with a padded diaper changing station, hot and cold water dispenser, a sink, and a breastfeeding room with a bench and an electrical point to charge your phone",SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
West Coast Plaza,Level B1 Key features within,"West Coast Plaza , 154 West Coast Rd, Singapore 127371","Level B1 Key features within the one lockable nursing room include a bench, changing table, sink, power points and a hot/cold water dispenser",SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Wheelock Place,Level 1,"Wheelock Place , 501 Orchard Rd, Singapore 238880","Level 1 This one is a bit difficult to get to with a stroller, with the lift to level 1 as your only option",SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
Wisma Atria,Level 3,"Wisma Atria , 435 Orchard Rd, Singapore 238877","Level 3 The baby room at Wisma Atria is really just a small area inside the female restroom so it’s not particularly pleasant, but it has the basics in a pinch! Think armchair and changing table (no locks), a sink and a hot/cold water dispenser",SassyMama,https://www.sassymamasg.com/singapore-nursing-room-ultimate-guide/
