name,verdict,distance_m,existing_confidence,existing_lat,existing_lng,onemap_lat,onemap_lng,known_address,onemap_address
SingPost Centre,CONFIRMED,46,LOW_REVIEW,1.31893132637472,103.894482925602,1.31899666903663,103.894894915962,10 Eunos Rd 8 Singapore 408600,10 EUNOS ROAD 8 SINGAPORE POST CENTRE SINGAPORE 408600
Tiong Bahru Plaza,CONFIRMED,37,NOMINATIM,1.2863599,103.827333,1.28645889472825,103.827015256194,302 Tiong Bahru Rd Singapore 168732,302 TIONG BAHRU ROAD TIONG BAHRU PLAZA SINGAPORE 168732
Bugis Junction,CONFIRMED,35,NOMINATIM,1.2988992,103.8551834,1.29911287475873,103.855411173758,200 Victoria St Singapore 188021,200 VICTORIA STREET BUGIS JUNCTION SINGAPORE 188021
NEX,CONFIRMED,32,NOMINATIM,1.3507085,103.8725819,1.35076935257845,103.872296143862,23 Serangoon Central Singapore 556083,23 SERANGOON CENTRAL NEX SINGAPORE 556083
Raffles City Shopping Centre,CONFIRMED,31,HIGH,1.29389357863312,103.853119904656,1.29407644483073,103.853331827088,252 North Bridge Rd Singapore 179103,252 NORTH BRIDGE ROAD RAFFLES CITY TOWER SINGAPORE 179103
Bukit Timah Plaza,CONFIRMED,31,NOMINATIM,1.3384959,103.7785112,1.33875930729064,103.778600077834,1 Jalan Anak Bukit Singapore 588996,1 JALAN ANAK BUKIT BUKIT TIMAH PLAZA SINGAPORE 588996
ION Orchard,CONFIRMED,31,NOMINATIM,1.3042007,103.8318627,1.30397974144505,103.832032328465,2 Orchard Turn Singapore 238801,2 ORCHARD TURN ION ORCHARD SINGAPORE 238801
West Coast Plaza,CONFIRMED,31,LOW_REVIEW,1.30362457527941,103.765858386923,1.30369748971099,103.766131294678,154 West Coast Rd Singapore 127371,154 WEST COAST ROAD WEST COAST PLAZA SINGAPORE 127371
Mandarin Gallery,CONFIRMED,29,NOMINATIM,1.302049,103.836605,1.30206450556085,103.836340953748,333A Orchard Rd Singapore 238897,333A ORCHARD ROAD HILTON SINGAPORE ORCHARD SINGAPORE 238897
Clementi Mall,CONFIRMED,28,NOMINATIM,1.3151244,103.7645187,1.31489619639366,103.764423054189,3155 Commonwealth Ave W Singapore 129588,3155 COMMONWEALTH AVENUE WEST THE CLEMENTI MALL SINGAPORE 129588
VivoCity,CONFIRMED,26,LOW_REVIEW,1.26431382492761,103.82207343835,1.26429316783973,103.82230469365,1 HarbourFront Walk Singapore 098585,1 HARBOURFRONT WALK VIVOCITY SINGAPORE 098585
Parkway Parade,CONFIRMED,25,LOW_REVIEW,1.301041960873,103.905505005847,1.30106975506311,103.905279491524,80 Marine Parade Rd Singapore 449269,80 MARINE PARADE ROAD PARKWAY PARADE SINGAPORE 449269
KINEX,CONFIRMED,25,LOW_REVIEW,1.31474238838871,103.8945518516,1.31461849889242,103.894738004768,11 Tanjong Katong Road Singapore 437157,11 TANJONG KATONG ROAD KINEX SINGAPORE 437157
Alexandra Retail Mall,CONFIRMED,24,HIGH,1.27414893629254,103.801399416665,1.27398639988204,103.801264139551,460 Alexandra Road Singapore 119963,460 ALEXANDRA ROAD MTOWER SINGAPORE 119963
The Star Vista,CONFIRMED,23,LOW_REVIEW,1.30695082420353,103.788287276561,1.3068719300898,103.788474398043,1 Vista Exchange Green Singapore 138617,1 VISTA EXCHANGE GREEN THE STAR SINGAPORE 138617
Forum Shopping Mall,CONFIRMED,22,LOW_REVIEW,1.30619579912712,103.828509016327,1.30609752164563,103.828678556041,583 Orchard Rd Singapore 238884,583 ORCHARD ROAD FORUM THE SHOPPING MALL SINGAPORE 238884
United Square,CONFIRMED,19,NOMINATIM,1.3173631,103.8436469,1.31719450988559,103.843611443038,101 Thomson Rd Singapore 307591,101 THOMSON ROAD UNITED SQUARE SINGAPORE 307591
Serangoon Polyclinic,CONFIRMED,18,NOMINATIM,1.3508497,103.8740131,1.35092066841966,103.874157885592,587 Upper Serangoon Rd Singapore 534564,587 UPPER SERANGOON ROAD SERANGOON POLYCLINIC SINGAPORE 534564
Central @ Clarke Quay,CONFIRMED,18,NOMINATIM,1.2889856,103.8464904,1.28883856248204,103.846558024744,6 Eu Tong Sen St Singapore 059817,6 EU TONG SEN STREET THE CENTRAL SINGAPORE 059817
313@Somerset,CONFIRMED,16,NOMINATIM,1.3010188,103.8385057,1.30101436404056,103.838360664485,313 Orchard Rd Singapore 238895,313 ORCHARD ROAD 313 @ SOMERSET SINGAPORE 238895
IKEA,CONFIRMED,15,NOMINATIM,1.2878737,103.8058903,1.2879437644344,103.806003412297,317 Alexandra Road Singapore 159965,317 ALEXANDRA ROAD IKEA INDUSTRIAL BUILDING SINGAPORE 159965
Bedok Mall,CONFIRMED,14,NOMINATIM,1.3248627,103.9292277,1.32473632812103,103.929256259726,311 New Upper Changi Rd Singapore 467360,311 NEW UPPER CHANGI ROAD BEDOK INTEGRATED TRANSPORT HUB SINGAPORE 467360
Centrepoint,CONFIRMED,14,NOMINATIM,1.3018631,103.8397189,1.30197834632189,103.83975904327,176 Orchard Rd Singapore 238843,176 ORCHARD ROAD THE CENTREPOINT SINGAPORE 238843
City Square Mall,CONFIRMED,13,NOMINATIM,1.3115008,103.8567041,1.31142103107683,103.856624019991,180 Kitchener Rd Singapore 208539,180 KITCHENER ROAD CITY SQUARE MALL SINGAPORE 208539
Compass One,CONFIRMED,13,NOMINATIM,1.3920337,103.8949526,1.39205314156706,103.89507054384,1 Sengkang Square Singapore 545078,1 SENGKANG SQUARE COMPASS ONE SINGAPORE 545078
Hougang Mall,CONFIRMED,13,LOW_REVIEW,1.37253315637342,103.893883460466,1.37249118635803,103.893774066625,90 Hougang Ave 10 Singapore 538766,90 HOUGANG AVENUE 10 HOUGANG MALL SINGAPORE 538766
Waterway Point,CONFIRMED,12,NOMINATIM,1.4064266,103.9020102,1.40648462132006,103.902105680785,83 Punggol Central Singapore 828763,83 PUNGGOL CENTRAL WATERWAY POINT SINGAPORE 828761
Singapore City Gallery,CONFIRMED,12,LOW_REVIEW,1.2795512783646,103.845209377351,1.27957562424263,103.845313046715,45 Maxwell Road Singapore 069118,45 MAXWELL ROAD THE URA CENTRE SINGAPORE 069118
Junction 8,CONFIRMED,10,LOW_REVIEW,1.35042215656701,103.848826189269,1.3504812534505,103.848760473211,9 Bishan Pl Singapore 579837,9 BISHAN PLACE JUNCTION 8 SINGAPORE 579837
Palais Renaissance,CONFIRMED,10,NOMINATIM,1.3067203,103.8296522,1.30665484543191,103.829588045188,390 Orchard Rd Singapore 238871,390 ORCHARD ROAD PALAIS RENAISSANCE SINGAPORE 238871
Thomson Plaza,CONFIRMED,9,NOMINATIM,1.3545979,103.8308732,1.35466902496424,103.830919782333,301 Upper Thomson Rd Singapore 574408,301 UPPER THOMSON ROAD THOMSON PLAZA SINGAPORE 574408
Wisma Atria,CONFIRMED,9,NOMINATIM,1.3036967,103.8332876,1.30370477426147,103.833205752808,435 Orchard Rd Singapore 238877,435 ORCHARD ROAD WISMA ATRIA SINGAPORE 238877
Plaza Singapura,CONFIRMED,8,LOW_REVIEW,1.30082071769235,103.845067272666,1.30074770963916,103.845047573431,68 Orchard Rd Singapore 238839,68 ORCHARD ROAD PLAZA SINGAPURA SINGAPORE 238839
Tampines 1,CONFIRMED,7,NOMINATIM,1.35422,103.9451247,1.35425637962115,103.945071748027,10 Tampines Central 1 Singapore 529536,10 TAMPINES CENTRAL 1 TAMPINES ONE SINGAPORE 529536
The Fullerton Hotel Singapore,CONFIRMED,6,NOMINATIM,1.2862019,103.8530726,1.28622855041207,103.853028067544,1 Fullerton Square Singapore 049178,1 FULLERTON SQUARE THE FULLERTON HOTEL SINGAPORE 049178
Wheelock Place,CONFIRMED,5,NOMINATIM,1.3046691,103.8306003,1.30467628730252,103.830642027577,501 Orchard Rd Singapore 238880,501 ORCHARD ROAD WHEELOCK PLACE SINGAPORE 238880
Holy Cross Church,CONFIRMED,3,NOMINATIM,1.3076779,103.7706734,1.30767967552671,103.770697238069,450 Clementi Avenue 1 Singapore 129955,450 CLEMENTI AVENUE 1 CHURCH OF THE HOLY CROSS SINGAPORE 129955
Forum The Shopping Mall,CONFIRMED,3,NOMINATIM,1.3061105,103.8286985,1.30609752164563,103.828678556041,583 Orchard Rd Singapore 238884,583 ORCHARD ROAD FORUM THE SHOPPING MALL SINGAPORE 238884
Tampines Mall,CONFIRMED,3,LOW_REVIEW,1.35250468330971,103.944682574769,1.35252737278519,103.944698751072,4 Tampines Central 5 Singapore 529510,4 TAMPINES CENTRAL 5 TAMPINES MALL SINGAPORE 529510
Embassy of the Republic of the Philippines in Singapore,CONFIRMED,0,HIGH,1.30906511443263,103.822821106476,1.30906511443263,103.822821106476,20 Nassim Road Singapore 258395,20 NASSIM ROAD EMBASSY OF THE REPUBLIC OF THE PHILIPPINES SINGAPORE 258395
IMM,CONFIRMED,0,LOW_REVIEW,1.33487526118006,103.746894773008,1.33487526118006,103.746894773008,2 Jurong East Street 21 Singapore 609601,2 JURONG EAST STREET 21 IMM BUILDING SINGAPORE 609601
Orchard Central,CONFIRMED,0,HIGH,1.30083890839245,103.839434733899,1.30083890839245,103.839434733899,181 Orchard Rd Singapore 238896,181 ORCHARD ROAD ORCHARD CENTRAL SINGAPORE 238896
Suntec Convention Centre,CONFIRMED,0,HIGH,1.29350362386495,103.85719484067,1.29350362386495,103.85719484067,1 Raffles Blvd Singapore 039593,1 RAFFLES BOULEVARD SUNTEC SINGAPORE CONVENTION & EXHIBITION CENTRE SINGAPORE 039593
Pusara Aman Mosque,CONFIRMED,0,HIGH,1.3727932945804,103.694316302339,1.3727932945804,103.694316302339,11 Lim Chu Kang Road Singapore 719452,11 LIM CHU KANG ROAD MASJID PUSARA AMAN SINGAPORE 719452
Anchorpoint Shopping Centre,CONFIRMED,0,HIGH,1.28861469030586,103.805009964592,1.28861469030586,103.805009964592,370 Alexandra Road Singapore 159953,370 ALEXANDRA ROAD ANCHORPOINT SHOPPING CENTRE SINGAPORE 159953
Causeway Point,CONFIRMED,0,HIGH,1.4360700650803,103.785981524253,1.4360700650803,103.785981524253,1 Woodlands Square Singapore 738099,1 WOODLANDS SQUARE CAUSEWAY POINT SINGAPORE 738099
Chinatown Point,CONFIRMED,0,HIGH,1.28499882847401,103.844697081142,1.28499882847401,103.844697081142,133 New Bridge Rd Singapore 059413,133 NEW BRIDGE ROAD CHINATOWN POINT SINGAPORE 059413
Far East Plaza,CONFIRMED,0,HIGH,1.30717698071189,103.833792932243,1.30717698071189,103.833792932243,14 Scotts Rd Singapore 228213,14 SCOTTS ROAD FAR EAST PLAZA SINGAPORE 228213
JEM,CONFIRMED,0,HIGH,1.33329334473462,103.743278742341,1.33329334473462,103.743278742341,50 Jurong Gateway Rd Singapore 608549,50 JURONG GATEWAY ROAD JEM SINGAPORE 608549
National Gallery Singapore,CONFIRMED,0,HIGH,1.29065533840368,103.851708013559,1.29065533840368,103.851708013559,1 St Andrew's Road Singapore 178957,1 SAINT ANDREW'S ROAD NATIONAL GALLERY SINGAPORE SINGAPORE 178957
Ngee Ann City,CONFIRMED,0,HIGH,1.30242417189411,103.834676124723,1.30242417189411,103.834676124723,391A Orchard Rd Singapore 238873,391A ORCHARD ROAD NGEE ANN CITY SINGAPORE 238873
One Raffles Place,CONFIRMED,0,HIGH,1.28434954622306,103.851072545834,1.28434954622306,103.851072545834,1 Raffles Pl Singapore 048616,1 RAFFLES PLACE ONE RAFFLES PLACE SINGAPORE 048616
River Wonders,CONFIRMED,0,LOW_REVIEW,1.40559439269495,103.789598292943,1.40559439269495,103.789598292943,80 Mandai Lake Rd Singapore 729826,80 MANDAI LAKE ROAD SINGAPORE ZOO SINGAPORE 729826
Scotts Square,CONFIRMED,0,HIGH,1.30579942993543,103.833074706219,1.30579942993543,103.833074706219,6 Scotts Rd Singapore 228209,6 SCOTTS ROAD SCOTTS SQUARE SINGAPORE 228209
Tanglin Mall,CONFIRMED,0,HIGH,1.30484344196915,103.823852794772,1.30484344196915,103.823852794772,163 Tanglin Road Singapore 247933,163 TANGLIN ROAD TANGLIN MALL SINGAPORE 247933
Valley Point Shopping Centre,CONFIRMED,0,LOW_REVIEW,1.29303600932874,103.827069067058,1.29303600932874,103.827069067058,491 River Valley Rd Singapore 248371,491 RIVER VALLEY ROAD THE RIVER OPUS SINGAPORE 248371
