latitude,longitude,query,resolved_at
1.43770474970365,103.795268998896,Vivo,2026-08-15T18:38:56.403409+00:00
1.32140856763384,103.900506313017,403037,2026-08-16T05:21:42.810084+00:00
1.37437689393173,103.882874917484,530662,2026-08-16T05:21:51.384581+00:00
1.30224168528687,103.835181912297,238872,2026-08-16T05:22:12.383291+00:00
1.32473632784728,103.929256259998,Bedok Mall,2026-08-16T05:22:12.759007+00:00
1.34333032872635,103.944372397085,Tampines,2026-08-16T05:22:13.273048+00:00
1.31934126205926,103.901891285083,Eunos,2026-08-16T05:22:39.270347+00:00
1.29960368990297,103.854242347489,Bugis,2026-08-16T05:22:45.204825+00:00
1.28323471543259,103.833681074961,Tiong bahru,2026-08-16T05:23:15.156572+00:00
1.28261543638403,103.818552370547,Connection one,2026-08-16T05:23:22.803341+00:00
1.33329334473462,103.743278742341,JEM,2026-08-16T05:24:16.177115+00:00
1.32473632784728,103.929256259998,bedok mall,2026-08-16T05:28:29.410727+00:00
1.33329334473462,103.743278742341,jem,2026-08-16T05:28:31.207959+00:00
1.30322796530206,103.836680361524,orchard road,2026-08-16T05:28:32.956262+00:00
1.35252737278519,103.944698751072,tampines mall,2026-08-16T05:28:36.345028+00:00
1.26429316783973,103.82230469365,vivocity,2026-08-16T05:28:38.090777+00:00
1.28261543638403,103.818552370547,connection one,2026-08-16T07:42:47.514688+00:00
1.32500460459969,103.92777031436,bedok,2026-08-16T07:42:55.416331+00:00
1.38870594064706,103.987980185347,changi village,2026-08-16T07:43:06.382043+00:00
1.31732347719983,103.826839917034,stevens,2026-08-16T07:43:26.244973+00:00
1.33235026777027,103.687390286925,jurong,2026-08-18T14:27:06.408134+00:00
1.31770886898996,103.893414663597,paya lebar quarter,2026-08-18T15:00:17.71064+00:00
1.29260544462492,103.859724944443,millenia walk,2026-08-18T15:02:13.280203+00:00
1.31756115921,103.892836694432,plq,2026-08-18T15:02:15.340308+00:00
1.29260544462492,103.859724944443,039596,2026-08-18T15:16:08.578467+00:00
1.29093310289855,103.868661506352,garden by the bay,2026-08-18T15:18:20.440429+00:00
1.28458858866312,103.864656599639,gardens by the bay,2026-08-18T15:20:34.530237+00:00
1.28462046280109,103.864735377434,flower dome,2026-08-18T15:20:36.369393+00:00
1.28387301464472,103.865993692974,cloud forest gardens by the bay,2026-08-18T15:20:38.286064+00:00
1.28287336735357,103.867137673603,far east organization children's garden,2026-08-18T15:20:43.621153+00:00
1.27950993767448,103.862190170944,the meadow gardens by the bay,2026-08-18T15:20:45.39561+00:00
1.28241422596973,103.865815873839,golden garden gardens by the bay,2026-08-18T15:20:47.192724+00:00
1.28360559141768,103.865179197527,the canopy gardens by the bay,2026-08-18T15:20:48.99814+00:00
1.2818829831848,103.863928344747,supertree grove,2026-08-18T15:21:17.563262+00:00
1.28202120504509,103.863896185993,supertree observatory,2026-08-18T15:21:19.372608+00:00
1.2818829831848,103.863928344747,gardens by the bay supertree,2026-08-18T15:21:21.210183+00:00
1.37286217975215,103.847644977493,5 ang mo kio central 2 singapore 569663,2026-08-18T15:48:02.119946+00:00
1.33873066388191,103.871670008192,11 bidadari park drive singapore 367803,2026-08-18T15:48:05.332043+00:00
1.35594171176111,103.741127005764,4 bukit batok street 41 singapore 657991,2026-08-18T15:48:08.628701+00:00
1.35002107594315,103.749216493831,1 bukit batok central link singapore 658713,2026-08-18T15:48:11.830987+00:00
1.35261962406511,103.749375894963,91 bukit batok west avenue 2 singapore 659206,2026-08-18T15:48:15.001028+00:00
1.28031596092652,103.79608018284,33 hyderabad road singapore 119578,2026-08-18T15:48:18.096463+00:00
1.29270339855062,103.810958956467,dawson place singapore,2026-08-18T15:48:21.398279+00:00
1.30980057121338,103.791873092511,31 north buona vista road singapore 275983,2026-08-18T15:48:24.512232+00:00
1.37843100800213,103.762842789877,17 petir road singapore 678278,2026-08-18T15:48:27.660316+00:00
1.44349544527985,103.830345369213,133 canberra view singapore 750133,2026-08-18T15:48:30.770284+00:00
1.29730056197454,103.850992050255,71 bras basah road singapore 189555,2026-08-18T15:48:33.918626+00:00
1.30265160142482,103.837367213158,260 orchard road singapore 238855,2026-08-18T15:48:37.120559+00:00
1.39696992267974,103.746443198224,21 choa chu kang north 6 singapore 689578,2026-08-18T15:48:40.297315+00:00
1.38497459672379,103.745011766388,21 choa chu kang avenue 4 singapore 689812,2026-08-18T15:48:43.440178+00:00
1.29351287719231,103.784685581372,1 lower kent ridge road singapore 119082,2026-08-18T15:48:46.611093+00:00
1.29348864960673,103.782736313441,5 lower kent ridge road singapore 119074,2026-08-18T15:48:49.774328+00:00
1.33415767556867,103.742766484424,3 gateway drive singapore 608532,2026-08-18T15:48:53.100096+00:00
1.33484485199233,103.720462014216,399 yung sheng road singapore 610399,2026-08-18T15:48:56.282466+00:00
1.30307515150401,103.873149707591,1 stadium place singapore 397628,2026-08-18T15:48:59.518078+00:00
1.30230108405227,103.876473975883,5 stadium walk singapore 397693,2026-08-18T15:49:02.739206+00:00
1.30663469653195,103.862772815008,10 kallang road singapore 208718,2026-08-18T15:49:05.925994+00:00
1.30520653617341,103.905046110228,112 east coast road singapore 428802,2026-08-18T15:49:09.06019+00:00
1.32980734122541,103.854404351339,293 toa payoh lorong 6 singapore 319387,2026-08-18T15:49:12.19629+00:00
1.33205485190481,103.848507643079,480 lorong 6 toa payoh singapore 310480,2026-08-18T15:49:15.359405+00:00
1.37382437779468,103.948748873616,7 pasir ris central singapore 519612,2026-08-18T15:49:18.573671+00:00
1.3381452163383,103.98363570815,changi airport terminal 4 singapore,2026-08-18T15:49:21.902434+00:00
1.37244981663527,103.949715694737,1 pasir ris central street 3 singapore 518457,2026-08-18T15:49:25.093272+00:00
1.37912717878008,103.955444758145,1 pasir ris close singapore 519599,2026-08-18T15:49:28.333584+00:00
1.41675822948163,103.902077462626,407 northshore drive singapore 820407,2026-08-18T15:49:31.441824+00:00
1.40872847596132,103.905154924923,1 punggol drive singapore 828629,2026-08-18T15:49:34.623315+00:00
1.44819535371132,103.819502127155,30 sembawang dr singapore 757713,2026-08-18T15:49:37.798976+00:00
1.44182470675733,103.824845207237,604 sembawang road singapore 758459,2026-08-18T15:49:41.00472+00:00
1.38298163203344,103.892721007746,70 compassvale bow singapore 544692,2026-08-18T15:49:44.123073+00:00
1.39250410994833,103.904483668323,11 rivervale crescent singapore 545082,2026-08-18T15:49:47.268767+00:00
1.39147015374628,103.876125507257,33 sengkang west avenue singapore 797653,2026-08-18T15:49:50.385759+00:00
1.36511490572797,103.865159501442,1 maju avenue singapore 556679,2026-08-18T15:49:53.556201+00:00
1.35076935257845,103.872296143862,23 serangoon central singapore 556083,2026-08-18T15:49:56.763709+00:00
1.33440171008315,103.960360055236,1 expo drive singapore 486150,2026-08-18T15:49:59.876107+00:00
1.34270592355576,103.953024618234,3 simei street 6 singapore 528833,2026-08-18T15:50:03.062454+00:00
1.37210169874539,103.931999887543,21 tampines north drive 2 singapore 528765,2026-08-18T15:50:06.319353+00:00
1.35236829566862,103.943812302253,2 tampines central 5 singapore 529509,2026-08-18T15:50:09.533635+00:00
1.35662609413487,103.986562208495,65 airport boulevard singapore 819663,2026-08-18T15:50:12.75627+00:00
1.35496938226828,103.989066489511,60 airport boulevard singapore 819643,2026-08-18T15:50:15.915026+00:00
1.36170882129274,103.990348823757,80 airport boulevard singapore 819642,2026-08-18T15:50:19.070715+00:00
1.25500579622092,103.820259163829,8 sentosa gateway singapore 98269,2026-08-18T15:50:22.278492+00:00
1.26396991176004,103.820243325181,1 maritime square singapore 99253,2026-08-18T15:50:25.430573+00:00
1.34181992530127,103.837593772832,820 thomson road singapore 574623,2026-08-18T15:50:31.610595+00:00
1.33365024539466,103.839419152563,512 thomson road singapore 298136,2026-08-18T15:50:34.729913+00:00
1.29218706192429,103.839288361715,46 kim yam road singapore 239351,2026-08-18T15:50:37.934538+00:00
1.40649071206901,103.779703861226,20 mandai lake road singapore 729825,2026-08-18T15:50:41.080402+00:00
